season,episode,title,object,present
1,S01E02,Mt. Mckinley,rocks,0
1,S01E02,Mt. Mckinley,seashell frame,0
1,S01E02,Mt. Mckinley,snow,1
1,S01E02,Mt. Mckinley,snowy mountain,1
1,S01E02,Mt. Mckinley,split frame,0
1,S01E02,Mt. Mckinley,steve ross,0
1,S01E02,Mt. Mckinley,structure,0
1,S01E02,Mt. Mckinley,sun,0
1,S01E02,Mt. Mckinley,tomb frame,0
1,S01E02,Mt. Mckinley,tree,1
1,S01E02,Mt. Mckinley,trees,1
1,S01E02,Mt. Mckinley,triple frame,0
1,S01E02,Mt. Mckinley,waterfall,0
1,S01E02,Mt. Mckinley,waves,0
1,S01E02,Mt. Mckinley,windmill,0
1,S01E02,Mt. Mckinley,window frame,0
1,S01E02,Mt. Mckinley,winter,1
1,S01E02,Mt. Mckinley,wood framed,0
1,S01E03,Ebony Sunset,apple frame,0
1,S01E03,Ebony Sunset,aurora borealis,0
1,S01E03,Ebony Sunset,barn,0
1,S01E03,Ebony Sunset,beach,0
1,S01E03,Ebony Sunset,boat,0
1,S01E03,Ebony Sunset,bridge,0
1,S01E03,Ebony Sunset,building,0
1,S01E03,Ebony Sunset,bushes,0
1,S01E03,Ebony Sunset,cabin,1
1,S01E03,Ebony Sunset,cactus,0
1,S01E03,Ebony Sunset,circle frame,0
1,S01E03,Ebony Sunset,cirrus,0
1,S01E03,Ebony Sunset,cliff,0
1,S01E03,Ebony Sunset,clouds,0
1,S01E03,Ebony Sunset,conifer,1
1,S01E03,Ebony Sunset,cumulus,0
1,S01E03,Ebony Sunset,deciduous,0
1,S01E03,Ebony Sunset,diane andre,0
1,S01E03,Ebony Sunset,dock,0
1,S01E03,Ebony Sunset,double oval frame,0
1,S01E03,Ebony Sunset,farm,0
1,S01E03,Ebony Sunset,fence,1
1,S01E03,Ebony Sunset,fire,0
1,S01E03,Ebony Sunset,florida frame,0
1,S01E03,Ebony Sunset,flowers,0
1,S01E03,Ebony Sunset,fog,0
1,S01E03,Ebony Sunset,framed,0
1,S01E03,Ebony Sunset,grass,0
1,S01E03,Ebony Sunset,guest,0
1,S01E03,Ebony Sunset,half circle frame,0
1,S01E03,Ebony Sunset,half oval frame,0
1,S01E03,Ebony Sunset,hills,0
1,S01E03,Ebony Sunset,lake,0
1,S01E03,Ebony Sunset,lakes,0
1,S01E03,Ebony Sunset,lighthouse,0
1,S01E03,Ebony Sunset,mill,0
1,S01E03,Ebony Sunset,moon,0
1,S01E03,Ebony Sunset,mountain,1
1,S01E03,Ebony Sunset,mountains,1
1,S01E03,Ebony Sunset,night,0
1,S01E03,Ebony Sunset,ocean,0
1,S01E03,Ebony Sunset,oval frame,0
1,S01E03,Ebony Sunset,palm trees,0
1,S01E03,Ebony Sunset,path,0
1,S01E03,Ebony Sunset,person,0
1,S01E03,Ebony Sunset,portrait,0
1,S01E03,Ebony Sunset,rectangle 3d frame,0
1,S01E03,Ebony Sunset,rectangular frame,0
1,S01E03,Ebony Sunset,river,0
1,S01E03,Ebony Sunset,rocks,0
1,S01E03,Ebony Sunset,seashell frame,0
1,S01E03,Ebony Sunset,snow,0
1,S01E03,Ebony Sunset,snowy mountain,0
1,S01E03,Ebony Sunset,split frame,0
1,S01E03,Ebony Sunset,steve ross,0
1,S01E03,Ebony Sunset,structure,1
1,S01E03,Ebony Sunset,sun,1
1,S01E03,Ebony Sunset,tomb frame,0
1,S01E03,Ebony Sunset,tree,1
1,S01E03,Ebony Sunset,trees,1
1,S01E03,Ebony Sunset,triple frame,0
1,S01E03,Ebony Sunset,waterfall,0
1,S01E03,Ebony Sunset,waves,0
1,S01E03,Ebony Sunset,windmill,0
1,S01E03,Ebony Sunset,window frame,0
1,S01E03,Ebony Sunset,winter,1
1,S01E03,Ebony Sunset,wood framed,0
1,S01E04,Winter Mist,apple frame,0
1,S01E04,Winter Mist,aurora borealis,0
1,S01E04,Winter Mist,barn,0
1,S01E04,Winter Mist,beach,0
1,S01E04,Winter Mist,boat,0
1,S01E04,Winter Mist,bridge,0
1,S01E04,Winter Mist,building,0
1,S01E04,Winter Mist,bushes,1
1,S01E04,Winter Mist,cabin,0
1,S01E04,Winter Mist,cactus,0
1,S01E04,Winter Mist,circle frame,0
1,S01E04,Winter Mist,cirrus,0
1,S01E04,Winter Mist,cliff,0
1,S01E04,Winter Mist,clouds,1
1,S01E04,Winter Mist,conifer,1
1,S01E04,Winter Mist,cumulus,0
1,S01E04,Winter Mist,deciduous,0
1,S01E04,Winter Mist,diane andre,0
1,S01E04,Winter Mist,dock,0
1,S01E04,Winter Mist,double oval frame,0
1,S01E04,Winter Mist,farm,0
1,S01E04,Winter Mist,fence,0
1,S01E04,Winter Mist,fire,0
1,S01E04,Winter Mist,florida frame,0
1,S01E04,Winter Mist,flowers,0
1,S01E04,Winter Mist,fog,0
1,S01E04,Winter Mist,framed,0
1,S01E04,Winter Mist,grass,0
1,S01E04,Winter Mist,guest,0
1,S01E04,Winter Mist,half circle frame,0
1,S01E04,Winter Mist,half oval frame,0
1,S01E04,Winter Mist,hills,0
1,S01E04,Winter Mist,lake,1
1,S01E04,Winter Mist,lakes,0
1,S01E04,Winter Mist,lighthouse,0
1,S01E04,Winter Mist,mill,0
1,S01E04,Winter Mist,moon,0
1,S01E04,Winter Mist,mountain,1
1,S01E04,Winter Mist,mountains,0
1,S01E04,Winter Mist,night,0
1,S01E04,Winter Mist,ocean,0
1,S01E04,Winter Mist,oval frame,0
1,S01E04,Winter Mist,palm trees,0
1,S01E04,Winter Mist,path,0
1,S01E04,Winter Mist,person,0
1,S01E04,Winter Mist,portrait,0
1,S01E04,Winter Mist,rectangle 3d frame,0
1,S01E04,Winter Mist,rectangular frame,0
1,S01E04,Winter Mist,river,0
1,S01E04,Winter Mist,rocks,0
1,S01E04,Winter Mist,seashell frame,0
1,S01E04,Winter Mist,snow,0
1,S01E04,Winter Mist,snowy mountain,1
1,S01E04,Winter Mist,split frame,0
1,S01E04,Winter Mist,steve ross,0
1,S01E04,Winter Mist,structure,0
1,S01E04,Winter Mist,sun,0
1,S01E04,Winter Mist,tomb frame,0
1,S01E04,Winter Mist,tree,1
1,S01E04,Winter Mist,trees,1
1,S01E04,Winter Mist,triple frame,0
1,S01E04,Winter Mist,waterfall,0
1,S01E04,Winter Mist,waves,0
1,S01E04,Winter Mist,windmill,0
1,S01E04,Winter Mist,window frame,0
1,S01E04,Winter Mist,winter,0
1,S01E04,Winter Mist,wood framed,0
1,S01E05,Quiet Stream,apple frame,0
1,S01E05,Quiet Stream,aurora borealis,0
1,S01E05,Quiet Stream,barn,0
1,S01E05,Quiet Stream,beach,0
1,S01E05,Quiet Stream,boat,0
1,S01E05,Quiet Stream,bridge,0
1,S01E05,Quiet Stream,building,0
1,S01E05,Quiet Stream,bushes,0
1,S01E05,Quiet Stream,cabin,0
1,S01E05,Quiet Stream,cactus,0
1,S01E05,Quiet Stream,circle frame,0
1,S01E05,Quiet Stream,cirrus,0
1,S01E05,Quiet Stream,cliff,0
1,S01E05,Quiet Stream,clouds,0
1,S01E05,Quiet Stream,conifer,0
1,S01E05,Quiet Stream,cumulus,0
1,S01E05,Quiet Stream,deciduous,1
1,S01E05,Quiet Stream,diane andre,0
1,S01E05,Quiet Stream,dock,0
1,S01E05,Quiet Stream,double oval frame,0
1,S01E05,Quiet Stream,farm,0
1,S01E05,Quiet Stream,fence,0
1,S01E05,Quiet Stream,fire,0
1,S01E05,Quiet Stream,florida frame,0
1,S01E05,Quiet Stream,flowers,0
1,S01E05,Quiet Stream,fog,0
1,S01E05,Quiet Stream,framed,0
1,S01E05,Quiet Stream,grass,0
1,S01E05,Quiet Stream,guest,0
1,S01E05,Quiet Stream,half circle frame,0
1,S01E05,Quiet Stream,half oval frame,0
1,S01E05,Quiet Stream,hills,0
1,S01E05,Quiet Stream,lake,0
1,S01E05,Quiet Stream,lakes,0
1,S01E05,Quiet Stream,lighthouse,0
1,S01E05,Quiet Stream,mill,0
1,S01E05,Quiet Stream,moon,0
1,S01E05,Quiet Stream,mountain,0
1,S01E05,Quiet Stream,mountains,0
1,S01E05,Quiet Stream,night,0
1,S01E05,Quiet Stream,ocean,0
1,S01E05,Quiet Stream,oval frame,0
1,S01E05,Quiet Stream,palm trees,0
1,S01E05,Quiet Stream,path,0
1,S01E05,Quiet Stream,person,0
1,S01E05,Quiet Stream,portrait,0
1,S01E05,Quiet Stream,rectangle 3d frame,0
1,S01E05,Quiet Stream,rectangular frame,0
1,S01E05,Quiet Stream,river,1
1,S01E05,Quiet Stream,rocks,1
1,S01E05,Quiet Stream,seashell frame,0
1,S01E05,Quiet Stream,snow,0
1,S01E05,Quiet Stream,snowy mountain,0
1,S01E05,Quiet Stream,split frame,0
1,S01E05,Quiet Stream,steve ross,0
1,S01E05,Quiet Stream,structure,0
1,S01E05,Quiet Stream,sun,0
1,S01E05,Quiet Stream,tomb frame,0
1,S01E05,Quiet Stream,tree,1
1,S01E05,Quiet Stream,trees,1
1,S01E05,Quiet Stream,triple frame,0
1,S01E05,Quiet Stream,waterfall,0
1,S01E05,Quiet Stream,waves,0
1,S01E05,Quiet Stream,windmill,0
1,S01E05,Quiet Stream,window frame,0
1,S01E05,Quiet Stream,winter,0
1,S01E05,Quiet Stream,wood framed,0
1,S01E06,Winter Moon,apple frame,0
1,S01E06,Winter Moon,aurora borealis,0
1,S01E06,Winter Moon,barn,0
1,S01E06,Winter Moon,beach,0
1,S01E06,Winter Moon,boat,0
1,S01E06,Winter Moon,bridge,0
1,S01E06,Winter Moon,building,0
1,S01E06,Winter Moon,bushes,0
1,S01E06,Winter Moon,cabin,1
1,S01E06,Winter Moon,cactus,0
1,S01E06,Winter Moon,circle frame,0
1,S01E06,Winter Moon,cirrus,0
1,S01E06,Winter Moon,cliff,0
1,S01E06,Winter Moon,clouds,0
1,S01E06,Winter Moon,conifer,1
1,S01E06,Winter Moon,cumulus,0
1,S01E06,Winter Moon,deciduous,0
1,S01E06,Winter Moon,diane andre,0
1,S01E06,Winter Moon,dock,0
1,S01E06,Winter Moon,double oval frame,0
1,S01E06,Winter Moon,farm,0
1,S01E06,Winter Moon,fence,0
1,S01E06,Winter Moon,fire,0
1,S01E06,Winter Moon,florida frame,0
1,S01E06,Winter Moon,flowers,0
1,S01E06,Winter Moon,fog,0
1,S01E06,Winter Moon,framed,0
1,S01E06,Winter Moon,grass,0
1,S01E06,Winter Moon,guest,0
1,S01E06,Winter Moon,half circle frame,0
1,S01E06,Winter Moon,half oval frame,0
1,S01E06,Winter Moon,hills,0
1,S01E06,Winter Moon,lake,1
1,S01E06,Winter Moon,lakes,0
1,S01E06,Winter Moon,lighthouse,0
1,S01E06,Winter Moon,mill,0
1,S01E06,Winter Moon,moon,1
1,S01E06,Winter Moon,mountain,1
1,S01E06,Winter Moon,mountains,1
1,S01E06,Winter Moon,night,1
1,S01E06,Winter Moon,ocean,0
1,S01E06,Winter Moon,oval frame,0
1,S01E06,Winter Moon,palm trees,0
1,S01E06,Winter Moon,path,0
1,S01E06,Winter Moon,person,0
1,S01E06,Winter Moon,portrait,0
1,S01E06,Winter Moon,rectangle 3d frame,0
1,S01E06,Winter Moon,rectangular frame,0
1,S01E06,Winter Moon,river,0
1,S01E06,Winter Moon,rocks,0
1,S01E06,Winter Moon,seashell frame,0
1,S01E06,Winter Moon,snow,1
1,S01E06,Winter Moon,snowy mountain,1
1,S01E06,Winter Moon,split frame,0
1,S01E06,Winter Moon,steve ross,0
1,S01E06,Winter Moon,structure,1
1,S01E06,Winter Moon,sun,0
1,S01E06,Winter Moon,tomb frame,0
1,S01E06,Winter Moon,tree,1
1,S01E06,Winter Moon,trees,1
1,S01E06,Winter Moon,triple frame,0
1,S01E06,Winter Moon,waterfall,0
1,S01E06,Winter Moon,waves,0
1,S01E06,Winter Moon,windmill,0
1,S01E06,Winter Moon,window frame,0
1,S01E06,Winter Moon,winter,1
1,S01E06,Winter Moon,wood framed,0
1,S01E07,Autumn Mountains,apple frame,0
1,S01E07,Autumn Mountains,aurora borealis,0
1,S01E07,Autumn Mountains,barn,0
1,S01E07,Autumn Mountains,beach,0
1,S01E07,Autumn Mountains,boat,0
1,S01E07,Autumn Mountains,bridge,0
1,S01E07,Autumn Mountains,building,0
1,S01E07,Autumn Mountains,bushes,0
1,S01E07,Autumn Mountains,cabin,0
1,S01E07,Autumn Mountains,cactus,0
1,S01E07,Autumn Mountains,circle frame,0
1,S01E07,Autumn Mountains,cirrus,0
1,S01E07,Autumn Mountains,cliff,0
1,S01E07,Autumn Mountains,clouds,0
1,S01E07,Autumn Mountains,conifer,0
1,S01E07,Autumn Mountains,cumulus,0
1,S01E07,Autumn Mountains,deciduous,1
1,S01E07,Autumn Mountains,diane andre,0
1,S01E07,Autumn Mountains,dock,0
1,S01E07,Autumn Mountains,double oval frame,0
1,S01E07,Autumn Mountains,farm,0
1,S01E07,Autumn Mountains,fence,0
1,S01E07,Autumn Mountains,fire,0
1,S01E07,Autumn Mountains,florida frame,0
1,S01E07,Autumn Mountains,flowers,0
1,S01E07,Autumn Mountains,fog,0
1,S01E07,Autumn Mountains,framed,0
1,S01E07,Autumn Mountains,grass,0
1,S01E07,Autumn Mountains,guest,0
1,S01E07,Autumn Mountains,half circle frame,0
1,S01E07,Autumn Mountains,half oval frame,0
1,S01E07,Autumn Mountains,hills,0
1,S01E07,Autumn Mountains,lake,1
1,S01E07,Autumn Mountains,lakes,0
1,S01E07,Autumn Mountains,lighthouse,0
1,S01E07,Autumn Mountains,mill,0
1,S01E07,Autumn Mountains,moon,0
1,S01E07,Autumn Mountains,mountain,1
1,S01E07,Autumn Mountains,mountains,1
1,S01E07,Autumn Mountains,night,0
1,S01E07,Autumn Mountains,ocean,0
1,S01E07,Autumn Mountains,oval frame,0
1,S01E07,Autumn Mountains,palm trees,0
1,S01E07,Autumn Mountains,path,0
1,S01E07,Autumn Mountains,person,0
1,S01E07,Autumn Mountains,portrait,0
1,S01E07,Autumn Mountains,rectangle 3d frame,0
1,S01E07,Autumn Mountains,rectangular frame,0
1,S01E07,Autumn Mountains,river,0
1,S01E07,Autumn Mountains,rocks,0
1,S01E07,Autumn Mountains,seashell frame,0
1,S01E07,Autumn Mountains,snow,0
1,S01E07,Autumn Mountains,snowy mountain,1
1,S01E07,Autumn Mountains,split frame,0
1,S01E07,Autumn Mountains,steve ross,0
1,S01E07,Autumn Mountains,structure,0
1,S01E07,Autumn Mountains,sun,0
1,S01E07,Autumn Mountains,tomb frame,0
1,S01E07,Autumn Mountains,tree,1
1,S01E07,Autumn Mountains,trees,1
1,S01E07,Autumn Mountains,triple frame,0
1,S01E07,Autumn Mountains,waterfall,0
1,S01E07,Autumn Mountains,waves,0
1,S01E07,Autumn Mountains,windmill,0
1,S01E07,Autumn Mountains,window frame,0
1,S01E07,Autumn Mountains,winter,0
1,S01E07,Autumn Mountains,wood framed,0
1,S01E08,Peaceful Valley,apple frame,0
1,S01E08,Peaceful Valley,aurora borealis,0
1,S01E08,Peaceful Valley,barn,0
1,S01E08,Peaceful Valley,beach,0
1,S01E08,Peaceful Valley,boat,0
1,S01E08,Peaceful Valley,bridge,0
1,S01E08,Peaceful Valley,building,0
1,S01E08,Peaceful Valley,bushes,1
1,S01E08,Peaceful Valley,cabin,0
1,S01E08,Peaceful Valley,cactus,0
1,S01E08,Peaceful Valley,circle frame,0
1,S01E08,Peaceful Valley,cirrus,0
1,S01E08,Peaceful Valley,cliff,0
1,S01E08,Peaceful Valley,clouds,0
1,S01E08,Peaceful Valley,conifer,1
1,S01E08,Peaceful Valley,cumulus,0
1,S01E08,Peaceful Valley,deciduous,0
1,S01E08,Peaceful Valley,diane andre,0
1,S01E08,Peaceful Valley,dock,0
1,S01E08,Peaceful Valley,double oval frame,0
1,S01E08,Peaceful Valley,farm,0
1,S01E08,Peaceful Valley,fence,0
1,S01E08,Peaceful Valley,fire,0
1,S01E08,Peaceful Valley,florida frame,0
1,S01E08,Peaceful Valley,flowers,0
1,S01E08,Peaceful Valley,fog,0
1,S01E08,Peaceful Valley,framed,0
1,S01E08,Peaceful Valley,grass,0
1,S01E08,Peaceful Valley,guest,0
1,S01E08,Peaceful Valley,half circle frame,0
1,S01E08,Peaceful Valley,half oval frame,0
1,S01E08,Peaceful Valley,hills,0
1,S01E08,Peaceful Valley,lake,1
1,S01E08,Peaceful Valley,lakes,0
1,S01E08,Peaceful Valley,lighthouse,0
1,S01E08,Peaceful Valley,mill,0
1,S01E08,Peaceful Valley,moon,0
1,S01E08,Peaceful Valley,mountain,1
1,S01E08,Peaceful Valley,mountains,1
1,S01E08,Peaceful Valley,night,0
1,S01E08,Peaceful Valley,ocean,0
1,S01E08,Peaceful Valley,oval frame,0
1,S01E08,Peaceful Valley,palm trees,0
1,S01E08,Peaceful Valley,path,0
1,S01E08,Peaceful Valley,person,0
1,S01E08,Peaceful Valley,portrait,0
1,S01E08,Peaceful Valley,rectangle 3d frame,0
1,S01E08,Peaceful Valley,rectangular frame,0
1,S01E08,Peaceful Valley,river,0
1,S01E08,Peaceful Valley,rocks,0
1,S01E08,Peaceful Valley,seashell frame,0
1,S01E08,Peaceful Valley,snow,0
1,S01E08,Peaceful Valley,snowy mountain,0
1,S01E08,Peaceful Valley,split frame,0
1,S01E08,Peaceful Valley,steve ross,0
1,S01E08,Peaceful Valley,structure,0
1,S01E08,Peaceful Valley,sun,0
1,S01E08,Peaceful Valley,tomb frame,0
1,S01E08,Peaceful Valley,tree,1
1,S01E08,Peaceful Valley,trees,1
1,S01E08,Peaceful Valley,triple frame,0
1,S01E08,Peaceful Valley,waterfall,0
1,S01E08,Peaceful Valley,waves,0
1,S01E08,Peaceful Valley,windmill,0
1,S01E08,Peaceful Valley,window frame,0
1,S01E08,Peaceful Valley,winter,0
1,S01E08,Peaceful Valley,wood framed,0
1,S01E09,Seascape,apple frame,0
1,S01E09,Seascape,aurora borealis,0
1,S01E09,Seascape,barn,0
1,S01E09,Seascape,beach,1
1,S01E09,Seascape,boat,0
1,S01E09,Seascape,bridge,0
1,S01E09,Seascape,building,0
1,S01E09,Seascape,bushes,0
1,S01E09,Seascape,cabin,0
1,S01E09,Seascape,cactus,0
1,S01E09,Seascape,circle frame,0
1,S01E09,Seascape,cirrus,0
1,S01E09,Seascape,cliff,0
1,S01E09,Seascape,clouds,1
1,S01E09,Seascape,conifer,0
1,S01E09,Seascape,cumulus,0
1,S01E09,Seascape,deciduous,0
1,S01E09,Seascape,diane andre,0
1,S01E09,Seascape,dock,0
1,S01E09,Seascape,double oval frame,0
1,S01E09,Seascape,farm,0
1,S01E09,Seascape,fence,1
1,S01E09,Seascape,fire,0
1,S01E09,Seascape,florida frame,0
1,S01E09,Seascape,flowers,0
1,S01E09,Seascape,fog,0
1,S01E09,Seascape,framed,0
1,S01E09,Seascape,grass,0
1,S01E09,Seascape,guest,0
1,S01E09,Seascape,half circle frame,0
1,S01E09,Seascape,half oval frame,0
1,S01E09,Seascape,hills,0
1,S01E09,Seascape,lake,0
1,S01E09,Seascape,lakes,0
1,S01E09,Seascape,lighthouse,0
1,S01E09,Seascape,mill,0
1,S01E09,Seascape,moon,0
1,S01E09,Seascape,mountain,0
1,S01E09,Seascape,mountains,0
1,S01E09,Seascape,night,0
1,S01E09,Seascape,ocean,1
1,S01E09,Seascape,oval frame,0
1,S01E09,Seascape,palm trees,0
1,S01E09,Seascape,path,0
1,S01E09,Seascape,person,0
1,S01E09,Seascape,portrait,0
1,S01E09,Seascape,rectangle 3d frame,0
1,S01E09,Seascape,rectangular frame,0
1,S01E09,Seascape,river,0
1,S01E09,Seascape,rocks,0
1,S01E09,Seascape,seashell frame,0
1,S01E09,Seascape,snow,0
1,S01E09,Seascape,snowy mountain,0
1,S01E09,Seascape,split frame,0
1,S01E09,Seascape,steve ross,0
1,S01E09,Seascape,structure,0
1,S01E09,Seascape,sun,0
1,S01E09,Seascape,tomb frame,0
1,S01E09,Seascape,tree,0
1,S01E09,Seascape,trees,0
1,S01E09,Seascape,triple frame,0
1,S01E09,Seascape,waterfall,0
1,S01E09,Seascape,waves,0
1,S01E09,Seascape,windmill,0
1,S01E09,Seascape,window frame,0
1,S01E09,Seascape,winter,0
1,S01E09,Seascape,wood framed,0
1,S01E10,Mountain Lake,apple frame,0
1,S01E10,Mountain Lake,aurora borealis,0
1,S01E10,Mountain Lake,barn,0
1,S01E10,Mountain Lake,beach,0
1,S01E10,Mountain Lake,boat,0
1,S01E10,Mountain Lake,bridge,0
1,S01E10,Mountain Lake,building,0
1,S01E10,Mountain Lake,bushes,1
1,S01E10,Mountain Lake,cabin,0
1,S01E10,Mountain Lake,cactus,0
1,S01E10,Mountain Lake,circle frame,0
1,S01E10,Mountain Lake,cirrus,0
1,S01E10,Mountain Lake,cliff,0
1,S01E10,Mountain Lake,clouds,0
1,S01E10,Mountain Lake,conifer,1
1,S01E10,Mountain Lake,cumulus,0
1,S01E10,Mountain Lake,deciduous,1
1,S01E10,Mountain Lake,diane andre,0
1,S01E10,Mountain Lake,dock,0
1,S01E10,Mountain Lake,double oval frame,0
1,S01E10,Mountain Lake,farm,0
1,S01E10,Mountain Lake,fence,0
1,S01E10,Mountain Lake,fire,0
1,S01E10,Mountain Lake,florida frame,0
1,S01E10,Mountain Lake,flowers,0
1,S01E10,Mountain Lake,fog,0
1,S01E10,Mountain Lake,framed,0
1,S01E10,Mountain Lake,grass,0
1,S01E10,Mountain Lake,guest,0
1,S01E10,Mountain Lake,half circle frame,0
1,S01E10,Mountain Lake,half oval frame,0
1,S01E10,Mountain Lake,hills,0
1,S01E10,Mountain Lake,lake,1
1,S01E10,Mountain Lake,lakes,0
1,S01E10,Mountain Lake,lighthouse,0
1,S01E10,Mountain Lake,mill,0
1,S01E10,Mountain Lake,moon,0
1,S01E10,Mountain Lake,mountain,1
1,S01E10,Mountain Lake,mountains,0
1,S01E10,Mountain Lake,night,0
1,S01E10,Mountain Lake,ocean,0
1,S01E10,Mountain Lake,oval frame,0
1,S01E10,Mountain Lake,palm trees,0
1,S01E10,Mountain Lake,path,0
1,S01E10,Mountain Lake,person,0
1,S01E10,Mountain Lake,portrait,0
1,S01E10,Mountain Lake,rectangle 3d frame,0
1,S01E10,Mountain Lake,rectangular frame,0
1,S01E10,Mountain Lake,river,0
1,S01E10,Mountain Lake,rocks,0
1,S01E10,Mountain Lake,seashell frame,0
1,S01E10,Mountain Lake,snow,0
